source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
"AMAZON FBA","Transter AMA US","13.9","BIA-ROSE-CHAIN-001-035-500","09/03/2022 16:20:11","1"
"AMAZON","Transter AMA US","14.11","BIA-ROSE-CHAIN-001-035-500","30/03/2022 13:46:48","1"
"AMAZON","Amazon UK","10.99","BIA-S925-CHAIN-006-035-450","08/03/2022 14:30:18","1"
"AMAZON FBA","Amazon DE","14.11","BIA-S925-CHAIN-031-230-360","11/03/2022 00:35:07","1"
"AMAZON FBA","Amazon IT","18.99","BIA-S925-HOOP-003","15/03/2022 21:35:31","1"
"AMAZON FBA","Transter AMA US","14.41","BIA-S925-HOOP-002","10/03/2022 21:22:05","1"
"AMAZON FBA","Amazon IT","107.99","G9K-YEL-PEN-COIN-001","17/03/2022 06:24:13","1"
"AMAZON FBA","Amazon FR","14.99","BIA-S925-HOOP-002","10/03/2022 02:48:57","1"
"AMAZON FBA","Amazon ES","14.99","BIA-S925-HOOP-002","31/03/2022 17:34:10","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-012-100-600","11/03/2022 16:46:57","1"
"AMAZON FBA","Transter AMA US","17.15","BIA-S925-CHAIN-012-100-600","07/03/2022 22:51:15","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-024-190-200","19/03/2022 04:48:07","1"
"AMAZON FBA","Transter AMA US","14.41","BIA-S925-HOOP-002","25/03/2022 16:41:40","1"
"AMAZON FBA","Amazon ES","11.99","BIA-S925-CHAIN-019-110-180","17/03/2022 01:53:46","1"
"AMAZON FBA","Amazon UK","10.99","BIA-GP-CHAIN-001-035-450","06/03/2022 14:22:54","1"
"AMAZON FBA","Transter AMA CA","33.59","S925-YEL-EAR-STUD-039","12/03/2022 08:56:22","1"
"AMAZON FBA","Transter AMA CA","48.93","BIA-S925-CHAIN-013-075-190","12/03/2022 02:17:03","1"
"AMAZON FBA","Transter AMA CA","26.32","BIA-S925-CHAIN-012-100-600","02/03/2022 21:55:17","1"
"AMAZON FBA","Transter AMA US","13.55","BIA-ROSE-CHAIN-001-035-450","01/03/2022 23:20:48","1"
"AMAZON FBA","Transter AMA CA","26.78","BIA-S925-HOOP-HIN-020","17/03/2022 22:13:39","1"
"AMAZON FBA","Amazon DE","39.99","S925-WHI-NEC-CHA-024-047-450","30/03/2022 02:00:20","1"
"AMAZON FBA","Amazon ES","16.99","S925-YEL-EAR-HOOP-020-012","09/03/2022 03:02:03","1"
"AMAZON","Amazon DE","12.99","BIA-S925-CHAIN-006-035-450","02/03/2022 14:42:37","1"
"AMAZON FBA","Amazon IT","19.99","S925-WHI-RIN-GEM-001-N","06/03/2022 23:23:04","1"
"AMAZON FBA","Amazon IT","13.99","BIA-S925-CHAIN-015-120-450","09/03/2022 22:34:39","1"
"AMAZON FBA","Amazon DE","19.99","BIA-S925-CHAIN-029-500-190","07/03/2022 01:34:27","1"
"AMAZON FBA","Amazon UK","10.99","BIA-ROSE-CHAIN-001-035-450","03/03/2022 17:21:18","1"
"AMAZON FBA","Transter AMA US","12.18","BIA-S925-CHAIN-019-110-200","31/03/2022 03:34:50","1"
"AMAZON","Transter AMA US","14.88","S925-BC-1764-PEN-6G","15/03/2022 14:38:21","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-HOOP-HIN-020","06/03/2022 02:26:39","1"
"AMAZON FBA","Transter AMA US","14.41","BIA-S925-HOOP-002","06/03/2022 11:51:19","1"
"AMAZON FBA","Amazon UK","17.99","BIA-ROSE-CHAIN-024-140-500","14/03/2022 22:17:41","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-006-035-450","29/03/2022 21:22:40","2"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","22/03/2022 16:29:25","1"
"AMAZON FBA","Amazon UK","10.99","S925-BC-0396-PEN-3H","09/03/2022 15:41:52","1"
"AMAZON FBA","Amazon IT","9.99","BIA-S925-CHAIN-001-030-600","08/03/2022 15:48:30","1"
"AMAZON FBA","Amazon UK","14.99","BIA-S925-HOOP-003","16/03/2022 18:26:50","1"
"AMAZON FBA","Transter AMA US","17.35","BIA-GP-CHAIN-019-110-250","23/03/2022 14:34:48","1"
"AMAZON FBA","Amazon UK","14.99","BIA-GP-CHAIN-019-110-250","03/03/2022 04:20:05","1"
"AMAZON FBA","Transter AMA US","12.45","BIA-S925-CHAIN-045-140-190","08/03/2022 15:54:35","1"
"AMAZON FBA","Amazon UK","9.99","S925-WHI-EAR-STUD-PERL-002-6to7","09/03/2022 14:19:54","1"
"AMAZON FBA","Amazon FR","9.99","BIA-S925-CHAIN-001-030-500","08/03/2022 16:10:47","1"
"AMAZON FBA","Amazon UK","16.99","BIA-S925-CHAIN-020-200-450","12/03/2022 22:18:47","1"
"AMAZON FBA","Transter AMA CA","44.8","S925-WHI-RIN-HAM-001-M","05/03/2022 08:49:25","1"
"AMAZON FBA","Amazon DE","16.99","BIA-S925-CHAIN-031-230-500","01/03/2022 15:54:02","1"
"AMAZON FBA","Transter AMA US","19.46","BIA-S925-CHAIN-020-200-450","05/03/2022 16:21:12","1"
"AMAZON FBA","Amazon UK","12.99","BIA-ROSE-CHAIN-008-030-500","22/03/2022 04:14:38","1"
"AMAZON FBA","Amazon IT","15.99","BIA-S925-CHAIN-004-040-600","01/03/2022 02:37:40","1"
"AMAZON FBA","Transter AMA CA","21.12","S925-WHI-EAR-STUD-PERL-002-7to8","13/03/2022 10:10:54","1"
"AMAZON FBA","Transter AMA CA","23.27","BIA-S925-CHAIN-004-040-500","08/03/2022 18:37:38","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-500","13/03/2022 21:04:42","1"
"AMAZON FBA","Amazon ES","12.99","BIA-S925-CHAIN-001-040-450","02/03/2022 13:51:04","1"
"AMAZON FBA","Transter AMA US","14.76","S925-WHI-PEN-CROS-001","17/03/2022 04:40:37","1"
"AMAZON FBA","Amazon UK","37.99","S925-WHI-NEC-CHA-024-047-500","18/03/2022 01:50:57","1"
"AMAZON FBA","Amazon ES","27.99","BIA-S925-HOOP-005","20/03/2022 01:10:03","1"
"AMAZON FBA","Amazon DE","9.99","BIA-S925-CHAIN-001-035-360","18/03/2022 14:01:54","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-001-040-450","01/03/2022 17:21:45","1"
"AMAZON FBA","Transter AMA US","13.96","S925-BC-0396-PEN-6G","28/03/2022 15:17:56","1"
"AMAZON FBA","Transter AMA CA","25.41","BIA-GP-CHAIN-007-040-450","11/03/2022 06:58:23","1"
"AMAZON FBA","Transter AMA US","23.32","BIA-S925-CHAIN-043-200-550","23/03/2022 04:38:39","1"
"AMAZON FBA","Amazon IT","21.99","BIA-S925-CHAIN-020-200-450","14/03/2022 17:17:08","1"
"AMAZON FBA","Transter AMA US","22.3","BIA-S925-HOOP-004","17/03/2022 18:08:34","1"
"AMAZON FBA","Amazon DE","15.99","BIA-S925-CHAIN-031-230-450","21/03/2022 09:31:55","1"
"AMAZON FBA","Amazon UK","16.99","S925-WHI-EAR-CEL-001","02/03/2022 23:32:20","1"
"AMAZON FBA","Amazon FR","3.99",,"01/03/2022 15:37:19","1"
"AMAZON FBA","Amazon DE","19.99","S925-WHI-EAR-CEL-001","18/03/2022 00:45:56","1"
"AMAZON FBA","Amazon UK","9.99","S925-WHI-EAR-STUD-PERL-001-7to8","11/03/2022 22:22:49","1"
"AMAZON FBA","Amazon DE","9.99","BIA-S925-CHAIN-001-035-360","22/03/2022 02:13:38","1"
"AMAZON FBA","Amazon FR","16.89",,"06/03/2022 01:10:51","1"
"AMAZON FBA","Amazon DE","13.99","S925-WHI-EAR-STUD-PERL-002-9to10","20/03/2022 09:28:19","1"
"AMAZON FBA","Transter AMA CA","23.27","BIA-S925-CHAIN-004-040-500","06/03/2022 05:58:56","1"
"AMAZON FBA","Amazon UK","18.99","BIA-S925-CHAIN-020-200-500","08/03/2022 18:30:55","1"
"AMAZON FBA","Amazon FR","12.99","S925-WHI-EAR-STUD-PERL-002-7to8","02/03/2022 22:49:58","1"
"AMAZON FBA","Transter AMA CA","24.36","S925-BC-0396-PEN-6G","02/03/2022 02:28:01","1"
"AMAZON FBA","Amazon UK","3.99",,"25/03/2022 05:22:49","1"
"AMAZON FBA","Transter AMA US","43.77","BIA-BRP-CHAIN-060-150-500","09/03/2022 08:09:36","1"
"AMAZON FBA","Amazon FR","9.99","BIA-S925-CHAIN-001-030-500","03/03/2022 12:49:23","1"
"AMAZON FBA","Amazon IT","13.99","BIA-S925-CHAIN-022-150-190","20/03/2022 22:04:53","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-001-040-450","01/03/2022 13:57:13","1"
"AMAZON FBA","Transter AMA US","12.65","BIA-S925-CHAIN-043-200-180","30/03/2022 22:13:23","1"
"AMAZON FBA","Transter AMA CA","26.88","BIA-S925-CHAIN-008-060-180","09/03/2022 04:57:53","1"
"AMAZON FBA","Transter AMA CA","22.48","BIA-S925-CHAIN-001-040-450","18/03/2022 05:34:44","1"
"AMAZON FBA","Amazon IT","24.99","S925-WHI-RIN-CEL-002","28/03/2022 21:20:36","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-CHAIN-015-120-700","27/03/2022 16:03:28","1"
"AMAZON FBA","Amazon ES","11.99","BIA-S925-HOOP-001","14/03/2022 02:48:25","1"
"AMAZON FBA","Transter AMA AU","11.99","BIA-S925-CHAIN-001-030-500","27/03/2022 07:00:11","1"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-004-040-500","07/03/2022 14:58:16","1"
"AMAZON FBA","Transter AMA US","11.97","BIA-S925-HOOP-001","29/03/2022 15:04:04","1"
"AMAZON FBA","Amazon UK","14.99","BIA-GP-CHAIN-012-100-600","10/03/2022 23:19:27","1"
"AMAZON FBA","Amazon ES","15.99","BIA-GP-CHAIN-004-040-600","02/03/2022 17:42:44","1"
"AMAZON FBA","Amazon ES","12.99","S925-WHI-PEN-CROS-001","19/03/2022 16:34:38","1"
"AMAZON FBA","Amazon UK","14.99","BIA-GP-CHAIN-012-100-600","09/03/2022 00:52:27","1"
"AMAZON FBA","Transter AMA CA","27","BIA-GP-CHAIN-004-040-600","30/03/2022 04:58:36","1"
"AMAZON FBA","Amazon ES","10.99","BIA-S925-CHAIN-001-035-360","13/03/2022 21:24:26","1"
"AMAZON FBA","Transter AMA CA","31.7","S925-WHI-EAR-HOOP-011-025","17/03/2022 00:11:30","1"
"AMAZON FBA","Transter AMA US","11.97","BIA-S925-HOOP-001","01/03/2022 19:59:20","1"
"AMAZON","Amazon UK","16.99","BIA-GP-CHAIN-045-140-250","01/03/2022 14:26:33","1"
"AMAZON FBA","Amazon IT","19.99","S925-WHI-BRA-CHA-037-190","14/03/2022 13:19:56","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-500","10/03/2022 13:32:54","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-HOOP-001","21/03/2022 01:29:55","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-CHAIN-015-120-700","17/03/2022 15:39:06","1"
"AMAZON FBA","Transter AMA US","20.84","BIA-S925-CHAIN-020-200-500","07/03/2022 07:25:09","1"
"AMAZON FBA","Amazon IT","13.99","BIA-S925-HOOP-001","11/03/2022 02:20:38","1"
"AMAZON FBA","Amazon DE","11.99","S925-WHI-PEN-ANML-001","13/03/2022 14:22:52","1"
"AMAZON FBA","Amazon IT","19.99","BIA-GP-HOOP-HIN-020","07/03/2022 08:55:29","1"
"AMAZON FBA","Amazon IT","12.99","GS-S925-HOOP-007","10/03/2022 01:15:20","1"
"AMAZON FBA","Amazon FR","15.99","BIA-S925-CHAIN-024-190-190","02/03/2022 18:25:31","1"
"AMAZON FBA","Amazon IT","19.99","BIA-ROSE-HOOP-HIN-020","05/03/2022 20:35:07","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-CHAIN-024-190-190","07/03/2022 20:49:16","1"
"AMAZON FBA","Amazon ES","14.99","S925-WHI-EAR-HOOP-012-020","28/03/2022 16:16:54","1"
"AMAZON FBA","Amazon ES","19.99","BIA-S925-CHAIN-022-150-500","14/03/2022 18:02:19","1"
"AMAZON FBA","Amazon DE","14.11","BIA-GP-CHAIN-001-035-500","03/03/2022 04:11:12","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","22/03/2022 14:00:01","1"
"AMAZON FBA","Amazon UK","10.99","GS-S925-CHAIN-EXT-001","08/03/2022 20:00:11","1"
"AMAZON FBA","Transter AMA US","15.15","BIA-S925-CHAIN-019-110-220-250","20/03/2022 03:52:49","1"
"AMAZON FBA","Amazon DE","15.99","BIA-S925-CHAIN-016-350-180","15/03/2022 00:08:23","1"
"AMAZON FBA","Amazon FR","18.99","BIA-GP-CHAIN-007-040-700","23/03/2022 06:33:42","2"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-001-035-700","16/03/2022 13:11:11","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-006-035-550","16/03/2022 01:15:56","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-043-200-190","05/03/2022 20:54:57","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-020-200-190","01/03/2022 15:31:28","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-001-035-700","21/03/2022 10:32:52","1"
"AMAZON FBA","Amazon UK","13.99","S925-YEL-BRA-CHA-004-200","15/03/2022 20:22:29","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","22/03/2022 17:13:22","1"
"AMAZON FBA","Transter AMA US","15.15","BIA-S925-CHAIN-019-110-220-250","12/03/2022 16:02:58","1"
"EBAY","EBAY1","7.39","BIA-S925-CHAIN-031-230-190","01/03/2022 14:26:36","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-CHAIN-019-110-220-250","11/03/2022 02:20:38","1"
"AMAZON FBA","Amazon ES","15.99","S925-WHI-EAR-STUD-013","15/03/2022 10:52:19","1"
"AMAZON FBA","Amazon ES","13.99","BIA-GP-CHAIN-001-035-500","20/03/2022 13:41:20","1"
"AMAZON FBA","Amazon IT","9.99","PAV-S925-EAR-BALL-001-020-2PAIR","09/03/2022 02:07:22","1"
"AMAZON FBA","Transter AMA US","11.54","PAV-S925-EAR-BALL-001-020-2PAIR","08/03/2022 23:17:23","1"
"AMAZON FBA","Amazon DE","14.99","BIA-S925-CHAIN-024-190-190","10/03/2022 09:18:54","3"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-001-040-700","26/03/2022 21:26:54","1"
"AMAZON FBA","Transter AMA US","15.33","BIA-S925-CHAIN-019-110-220-250","24/03/2022 03:51:41","1"
"AMAZON FBA","Amazon UK","10.99","GS-S925-CHAIN-EXT-001","05/03/2022 17:10:28","1"
"EBAY","EBAY1","9.89","BIA-GP-CHAIN-020-200-190","21/03/2022 14:47:36","1"
"AMAZON FBA","Amazon UK","25.99","BIA-S925-CHAIN-020-200-700","04/03/2022 02:57:55","1"
"AMAZON FBA","Transter AMA US","10.61","GS-S925-CHAIN-EXT-001","03/03/2022 07:45:11","1"
"AMAZON FBA","Transter AMA CA","111.63","G9K-YEL-PEN-CROS-002","08/03/2022 08:18:03","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-006-035-550","19/03/2022 20:00:04","1"
"AMAZON FBA","Transter AMA US","21.35","S925-WHI-PEN-COIN-HAM-001","16/03/2022 22:25:57","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","29/03/2022 14:33:07","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-020-200-190","18/03/2022 00:13:06","1"
"AMAZON FBA","Amazon ES","15.69","GS-S925-HOOP-035","22/03/2022 22:53:01","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-001-040-700","10/03/2022 00:09:18","1"
"AMAZON FBA","Amazon UK","11.99","S925-WHI-EAR-CRAW-008-WH","15/03/2022 03:01:24","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-006-035-550","13/03/2022 21:40:32","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-012-100-500","24/03/2022 04:12:08","1"
"AMAZON FBA","Transter AMA CA","24.06","BIA-S925-CHAIN-001-035-700","15/03/2022 19:29:23","1"
"AMAZON FBA","Amazon UK","12.99","BIA-GP-CHAIN-020-200-190","18/03/2022 23:24:39","1"
"AMAZON FBA","Amazon ES","15.99","BIA-S925-CHAIN-019-110-220-250","03/03/2022 00:29:14","1"
"AMAZON FBA","Amazon FR","15.99","BIA-GP-CHAIN-007-040-500","04/03/2022 21:48:00","1"
"AMAZON FBA","Amazon IT","9.99","PAV-S925-EAR-BALL-001-020-2PAIR","10/03/2022 14:25:06","1"
"AMAZON FBA","Transter AMA AU","19.99","S925-WHI-EAR-STUD-ZOD-001-PIS","09/03/2022 16:24:11","1"
"AMAZON FBA","Amazon UK","38.99","BIA-S925-CHAIN-012-200-650","28/03/2022 13:26:37","1"
"AMAZON FBA","Amazon FR","16.99","BIA-S925-CHAIN-016-350-180","21/03/2022 04:31:05","1"
"AMAZON FBA","Transter AMA US","15.15","BIA-S925-CHAIN-019-110-220-250","03/03/2022 07:41:32","1"
"AMAZON FBA","Amazon UK","9.99","BIA-ROSE-CHAIN-001-035-360","31/03/2022 20:36:18","1"
"AMAZON FBA","Transter AMA CA","18.63","GS-GP-CHAIN-EXT-001","11/03/2022 08:11:29","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-052-040-250","28/03/2022 14:30:22","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-024-190-190","22/03/2022 04:13:52","1"
"AMAZON FBA","Amazon DE","16.13","BIA-S925-CHAIN-001-040-700","18/03/2022 09:12:27","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","26/03/2022 23:06:23","1"
"AMAZON FBA","Transter AMA CA","26.32","BIA-S925-HOOP-HIN-020","15/03/2022 20:59:14","1"
"AMAZON FBA","Transter AMA AU","16.99","BIA-S925-HOOP-HIN-020","29/03/2022 04:18:54","1"
"AMAZON FBA","Amazon UK","26.49","S925-YEL-NEC-CHA-029-030-450","28/03/2022 16:54:49","1"
"AMAZON FBA","Amazon UK","18.99","BIA-S925-CHAIN-024-140-600","18/03/2022 14:22:27","1"
"AMAZON FBA","Transter AMA US","17.19","BIA-S925-CHAIN-051-250-450","11/03/2022 17:47:48","1"
"AMAZON FBA","Transter AMA US","16.84","BIA-S925-HOOP-003","28/03/2022 12:05:23","1"
"AMAZON FBA","Amazon DE","12.99","BIA-ROSE-CHAIN-001-035-450","04/03/2022 01:47:52","1"
"AMAZON FBA","Amazon FR","17.99","BIA-GP-CHAIN-019-110-250","30/03/2022 13:29:14","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","13/03/2022 00:34:25","1"
"AMAZON FBA","Amazon FR","12.99","BIA-S925-CHAIN-019-110-200","29/03/2022 18:22:10","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","16/03/2022 13:24:33","1"
"AMAZON FBA","Amazon DE","14.99","BIA-S925-HOOP-002","15/03/2022 03:55:14","1"
"AMAZON FBA","Amazon ES","15.99","BIA-S925-CHAIN-024-190-200","21/03/2022 01:52:52","1"
"AMAZON FBA","Amazon IT","18.99","BIA-S925-CHAIN-015-120-900","29/03/2022 22:20:32","1"
"AMAZON FBA","Amazon ES","12.99","S925-YEL-BRA-CHA-042-180","15/03/2022 05:09:19","1"
"AMAZON FBA","Transter AMA CA","23.61","PAV-S925-EAR-CRAW-004","20/03/2022 07:29:51","1"
"AMAZON FBA","Amazon DE","17.99","S925-WHI-RIN-GEM-001-J","24/03/2022 00:33:38","1"
"AMAZON FBA","Amazon FR","12.99","BIA-S925-CHAIN-045-140-190","05/03/2022 11:38:50","1"
"AMAZON FBA","Amazon UK","10.99","S925-YEL-BRA-CHA-042-180","10/03/2022 15:21:41","1"
"AMAZON FBA","Amazon UK","19.99","BIA-S925-CHAIN-029-500-190","13/03/2022 20:25:55","1"
"AMAZON FBA","Transter AMA US","26.8","S925-WHI-RIN-HAM-001-S","17/03/2022 09:20:30","1"
"AMAZON FBA","Transter AMA US","16.09","PAV-S925-HOOP-BALI-002-020","29/03/2022 14:33:27","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","06/03/2022 23:18:05","1"
"AMAZON FBA","Amazon IT","14.99","BIA-S925-CHAIN-041-220-200","25/03/2022 06:30:17","1"
"AMAZON","Transter AMA CA","21.49","S925-BLA-NEC-CHA-001-013-450","10/03/2022 14:49:40","1"
"AMAZON FBA","Amazon ES","109.99","G9K-YEL-PEN-CROS-005","12/03/2022 17:57:56","1"
"AMAZON FBA","Amazon DE","15.99","BIA-S925-CHAIN-008-060-200","04/03/2022 20:25:54","1"
"AMAZON FBA","Amazon IT","17.99","BIA-S925-CHAIN-008-060-200","17/03/2022 23:10:42","1"
"AMAZON FBA","Amazon ES","9.99","BIA-S925-CHAIN-001-030-600","23/03/2022 17:54:35","2"
"AMAZON FBA","Amazon ES","22.35","GS-GP-PEN-COIN-001","03/03/2022 09:15:17","1"
"AMAZON FBA","Amazon FR","19.99","S925-WHI-EAR-STUD-ZOD-001-ARI","30/03/2022 16:20:50","1"
"AMAZON FBA","Transter AMA US","14.69","BIA-S925-HOOP-002","15/03/2022 16:40:47","1"
"AMAZON FBA","Amazon DE","25.99","BIA-S925-CHAIN-016-350-450","16/03/2022 16:10:44","1"
"AMAZON FBA","Amazon UK","9.99","S925-WHI-EAR-CUFF-010","29/03/2022 00:50:34","1"
"AMAZON FBA","Transter AMA US","12.4","BIA-S925-CHAIN-015-120-450","08/03/2022 07:27:39","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","17/03/2022 16:52:44","1"
"AMAZON FBA","Amazon UK","19.99","BIA-S925-CHAIN-029-500-190","10/03/2022 02:59:29","1"
"AMAZON FBA","Transter AMA US","11.58","BIA-S925-CHAIN-019-110-180","09/03/2022 05:46:19","1"
"AMAZON FBA","Amazon UK","19.99","BIA-S925-CHAIN-029-500-190","02/03/2022 23:31:20","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","21/03/2022 13:39:42","1"
"AMAZON FBA","Amazon UK","19.99","BIA-S925-CHAIN-029-500-190","01/03/2022 02:07:33","1"
"AMAZON","Amazon UK","11.99","BIA-S925-CHAIN-006-035-500","01/03/2022 14:26:35","1"
"AMAZON FBA","Amazon IT","13.99","BIA-S925-CHAIN-015-120-450","01/03/2022 13:01:45","1"
"AMAZON FBA","Transter AMA CA","24.45","BIA-S925-HOOP-HIN-020","16/03/2022 15:05:01","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-008-035-500","23/03/2022 22:57:48","1"
"AMAZON","Amazon UK","12.99","BIA-S925-CHAIN-012-100-600","14/03/2022 14:30:50","1"
"AMAZON FBA","Transter AMA CA","24.02","PAV-S925-EAR-CRAW-004","17/03/2022 05:27:41","1"
"AMAZON FBA","Amazon IT","14.99","S925-BC-0396-PEN-3H","22/03/2022 21:27:31","1"
"AMAZON FBA","Amazon DE","13.99","BIA-ROSE-CHAIN-001-035-500","20/03/2022 09:57:18","1"
"AMAZON FBA","Amazon UK","10.99","S925-BC-0396-PEN-3H","13/03/2022 00:25:50","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-CHAIN-022-150-180","11/03/2022 04:18:29","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","24/03/2022 01:50:18","1"
"AMAZON FBA","Amazon ES","9.99","BIA-S925-CHAIN-001-030-600","14/03/2022 21:18:18","1"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-006-035-450","09/03/2022 09:52:45","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","14/03/2022 15:16:50","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","19/03/2022 21:15:04","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","14/03/2022 17:08:20","1"
"AMAZON FBA","Transter AMA CA","20.25","BIA-S925-CHAIN-015-120-450","01/03/2022 20:45:19","1"
"AMAZON FBA","Transter AMA CA","24.06","BIA-GP-CHAIN-001-040-250","11/03/2022 20:27:59","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-024-190-200","20/03/2022 17:02:27","1"
"AMAZON FBA","Transter AMA CA","20.78","BIA-S925-CHAIN-001-030-600","16/03/2022 06:57:26","1"
"AMAZON FBA","Transter AMA CA","65.3","S925-WHI-NEC-CHA-024-047-500","29/03/2022 17:19:33","1"
"AMAZON","Transter AMA CA","41.46","BIA-S925-CHAIN-043-200-550","07/03/2022 14:37:45","1"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-001-040-450","29/03/2022 07:18:33","1"
"AMAZON FBA","Amazon ES","14.99","BIA-S925-CHAIN-004-040-600","14/03/2022 07:42:33","1"
"AMAZON FBA","Amazon ES","10.99","BIA-S925-CHAIN-001-035-360","19/03/2022 09:15:36","1"
