externalinvoicenumber,status,dateofpurchase,dateofdelivery,itemnumber,quantity,delivered
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","S925-WHI-PEN-LET-001-F","53","53"
"PO210527-21/009PAV-Part 2 Zodiac","DELIVERED","27/05/2021 09:00:00","13/10/2021 12:25:27","S925-WHI-EAR-STUD-ZOD-001-CAP","200","200"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-WHI-BRA-CHA-040-200","100","100"
"PO220119-22/001PAV","DELIVERED","19/01/2022 17:00:00","29/03/2022 14:43:00","S925-WHI-RIN-CEL-006-P","100","100"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-RIN-CEL-006-P","50","50"
"PO210423-21/004PAV","DELIVERED","23/04/2021 15:00:00","10/06/2021 12:36:19","S925-WHI-RIN-CEL-006-P","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-ROS-EAR-STUD-022","50","50"
"PO210716-21/012PAV","DELIVERED","16/07/2021 10:00:00","01/10/2021 14:51:07","S925-ROS-EAR-STUD-022","50","50"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-ROSE-CHAIN-001-035-360","100","100"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-ROSE-CHAIN-001-035-360","201","201"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-ROSE-CHAIN-001-035-360","100","0"
"PO220425-22/009BIA","OPEN","26/04/2022 09:43:45","26/04/2022 09:43:45","BIA-ROSE-CHAIN-001-035-360","100","0"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-ROSE-CHAIN-001-035-360","100","100"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-ROSE-CHAIN-001-035-360","100","100"
"PO220425-22/008PAV","OPEN","26/04/2022 09:46:23","26/04/2022 09:46:23","S925-WHI-RIN-HAM-001-P","50","0"
"PO220331-22/006PAV","OPEN","31/03/2022 11:02:19","31/03/2022 11:02:19","S925-WHI-RIN-HAM-001-P","50","0"
"PO210527-21/009PAV-Part 1","DELIVERED","27/05/2021 09:00:00","20/07/2021 09:50:24","S925-WHI-RIN-HAM-001-P","100","100"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-028-030-450","104","104"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-019-110-600","51","51"
"PO211015-21/005BC","DELIVERED","15/10/2021 12:00:00","11/11/2021 13:49:17","S925-BC-5260-EAR-7M","62","62"
"PO220217-22/002BC","DELIVERED","17/02/2022 17:00:39","29/03/2022 12:29:14","S925-BC-5260-EAR-7M","118","118"
"PO210716-21/003BC","DELIVERED","16/07/2021 15:00:00","12/08/2021 15:33:50","S925-BC-5260-EAR-7M","163","163"
"PO220119-22/001BC","DELIVERED","19/01/2022 17:00:00","08/03/2022 14:14:18","S925-BC-5260-EAR-7M","120","120"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-YEL-NEC-PEN-017","150","150"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-O","20","20"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-YEL-BRA-CHA-053-200","100","100"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-027-079-500","82","82"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-035-Y","10","10"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-WHI-EAR-STUD-029","150","150"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-WHI-EAR-STUD-029","150","150"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-EAR-DROP-SWA-001-214","288","288"
"PO210423-21/005GS","DELIVERED","23/04/2021 13:00:00","07/06/2021 10:11:16","GS-S925-ANK-026","221","221"
"PO210729-21/012GS-Part 3","DELIVERED","29/07/2021 09:00:00","18/11/2021 14:24:34","GS-S925-ANK-026","164","164"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","GS-S925-ANK-026","158","158"
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","GS-S925-ANK-026","56","56"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-203","150","150"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-040","200","200"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-HOOP-HIN-020","500","500"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-HOOP-HIN-020","200","200"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-HOOP-HIN-020","300","300"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-HOOP-HIN-020","300","300"
"PO210527-21/009PAV-Part 2 Zodiac","DELIVERED","27/05/2021 09:00:00","13/10/2021 12:25:27","S925-WHI-EAR-STUD-ZOD-001-LIB","200","200"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-024-190-180","300","0"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-024-190-180","400","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-024-190-180","301","301"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-024-190-180","402","402"
"PO211210-21/012CHR","PARTIAL","10/12/2021 15:00:00","10/12/2021 15:00:00","BIA-S925-CHAIN-055-230-500","102","102"
"PO220119-22/001CHR","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","BIA-S925-CHAIN-055-230-500","454","454"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-PEN-COIN-003","200","200"
"PO220511-22/009PAV","OPEN","12/05/2022 13:36:40","12/05/2022 13:36:40","S925-WHI-EAR-STUD-PERL-001-6to7","100","0"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-EAR-STUD-PERL-001-6to7","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-EAR-STUD-PERL-001-6to7","50","50"
"PO220425-22/008PAV","OPEN","26/04/2022 09:46:23","26/04/2022 09:46:23","S925-WHI-EAR-STUD-PERL-001-6to7","100","0"
"PO211111-21/018PAV","DELIVERED","11/11/2021 15:00:00","04/02/2022 09:50:34","S925-WHI-EAR-STUD-PERL-001-6to7","100","100"
"PO220119-22/001PAV","DELIVERED","19/01/2022 17:00:00","29/03/2022 14:43:00","S925-WHI-EAR-STUD-PERL-001-6to7","100","100"
"PO220412-22/007PAV","OPEN","12/04/2022 10:16:30","12/04/2022 10:16:30","S925-WHI-EAR-STUD-PERL-001-6to7","50","0"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-024-079-410","101","101"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-RIN-CEL-006-J","50","50"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-RIN-CEL-006-J","50","50"
"PO210527-21/009PAV-Part 1","DELIVERED","27/05/2021 09:00:00","20/07/2021 09:50:24","S925-WHI-RIN-HAM-001-N","100","100"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-039","200","200"
"PO210622-21/002FAN","DELIVERED","22/06/2021 10:00:00","03/08/2021 15:10:22","S925-ROS-PEN-TREE-005","100","100"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-031","200","200"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-YEL-NEC-PEN-015","150","150"
"PO210622-21/006CHR-Part 1","DELIVERED","22/06/2021 10:00:00","30/07/2021 15:00:12","S925-BLA-NEC-CHA-001-013-500","416","416"
"PO210921-21/003CAV","DELIVERED","21/09/2021 15:00:00","29/12/2021 15:22:14","G9K-YEL-PEN-KEY-001","110","110"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-008-012","208","208"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-515","150","150"
"PO220203-22/001MS","DELIVERED","03/02/2022 13:00:00","23/03/2022 11:48:41","S925-YEL-EAR-HOOP-020-020","51","51"
"PO210609-21/005CHR-Part 2","DELIVERED","06/06/2021 13:00:00","02/08/2021 14:41:28","S925-WHI-NEC-CHA-025-077-550","51","51"
"PO220303-22/005CHR","DELIVERED","04/03/2022 11:21:47","03/05/2022 12:53:40","S925-WHI-NEC-CHA-025-077-550","53","53"
